customer_key,customer_id,first_name,last_name,marital_status,gender,birth_date,country,create_date
54,AW00011053,Ana,Price,Married,Female,1986-02-17,United States,2025-10-07
55,AW00011054,Deanna,Munoz,Married,Female,1957-09-07,Australia,2025-10-07
56,AW00011055,Gilbert,Raje,Married,Male,1957-09-02,Australia,2025-10-07
57,AW00011056,Michele,Nath,Married,Female,1958-10-01,Australia,2025-10-07
58,AW00011057,Carl,Andersen,Married,Female,1970-04-07,Australia,2025-10-07
59,AW00011058,Marc,Diaz,Married,Female,1965-04-23,Australia,2025-10-07
60,AW00011059,Ashlee,Andersen,Single,Female,1959-09-29,Australia,2025-10-07
61,AW00011060,Jon,Zhou,Married,Female,1959-09-14,Australia,2025-10-07
62,AW00011061,Todd,Gao,Married,Male,1976-02-20,Australia,2025-10-07
63,AW00011062,Noah,Powell,Married,Male,1981-03-01,United States,2025-10-07
64,AW00011063,Angela,Murphy,Single,Female,1980-10-04,United States,2025-10-07
65,AW00011064,Chase,Reed,Married,Male,1981-06-05,United States,2025-10-07
66,AW00011065,Jessica,Henderson,Married,Female,1979-04-08,United States,2025-10-07
67,AW00011066,Grace,Butler,Married,Female,1979-05-27,United States,2025-10-07
68,AW00011067,Caleb,Carter,Single,Male,1982-03-25,United States,2025-10-07
69,AW00011068,Tiffany,Liang,Single,Female,1966-09-19,Australia,2025-10-07
70,AW00011069,Carolyn,Navarro,Single,Female,1966-09-17,Australia,2025-10-07
71,AW00011070,Willie,Raji,Married,Male,1960-10-02,Australia,2025-10-07
72,AW00011071,Linda,Serrano,Single,Female,1960-12-23,Australia,2025-10-07
73,AW00011072,Casey,Luo,Single,Female,1960-08-05,Australia,2025-10-07
74,AW00011073,Amy,Ye,Single,Female,1962-02-11,Australia,2025-10-07
75,AW00011074,Levi,Arun,Single,Male,1962-02-25,Australia,2025-10-07
76,AW00011075,Felicia,Jimenez,Single,Female,1963-05-16,Australia,2025-10-07
77,AW00011076,Blake,Anderson,Single,Male,1963-01-10,Australia,2025-10-07
78,AW00011077,Leah,Ye,Single,Female,1963-03-19,Australia,2025-10-07
79,AW00011078,Gina,Martin,Single,Female,1985-01-06,Canada,2025-10-07
80,AW00011079,Donald,Gonzalez,Single,Male,1970-03-07,Australia,2025-10-07
81,AW00011080,Damien,Chander,Married,Male,1965-01-13,Australia,2025-10-07
82,AW00011081,Savannah,Baker,Married,Female,1972-01-21,United States,2025-10-07
83,AW00011082,Angela,Butler,Single,Female,1972-02-01,United States,2025-10-07
84,AW00011083,Alyssa,Cox,Married,Female,1977-03-11,United States,2025-10-07
85,AW00011084,Lucas,Phillips,Single,Male,1963-03-12,United States,2025-10-07
86,AW00011085,Emily,Johnson,Single,Female,1963-01-16,United States,2025-10-07
87,AW00011086,Ryan,Brown,Married,Male,1963-06-22,United States,2025-10-07
88,AW00011087,Tamara,Liang,Married,Female,1963-04-02,United States,2025-10-07
89,AW00011088,Hunter,Davis,Married,Male,1963-05-25,United States,2025-10-07
90,AW00011089,Abigail,Price,Single,Female,1962-08-05,United States,2025-10-07
91,AW00011090,Trevor,Bryant,Single,Male,1968-12-13,United States,2025-10-07
92,AW00011091,Dalton,Perez,Married,Male,1962-10-02,Canada,2025-10-07
93,AW00011092,Cheryl,Diaz,Married,Female,1972-11-02,Australia,2025-10-07
94,AW00011093,Aimee,He,Married,Female,1978-09-06,Australia,2025-10-07
95,AW00011094,Cedric,Ma,Single,Male,1967-09-29,Australia,2025-10-07
96,AW00011095,Chad,Kumar,Single,Male,1968-02-29,Australia,2025-10-07
97,AW00011096,Andrés,Anand,Married,Male,1968-02-07,Australia,2025-10-07
98,AW00011097,Edwin,Nara,Married,Male,1972-10-23,Australia,2025-10-07
99,AW00011098,Mallory,Rubio,Single,Female,1966-10-29,Australia,2025-10-07
100,AW00011099,Adam,Ross,Married,Male,1966-09-05,Australia,2025-10-07
101,AW00011100,Latasha,Navarro,Single,Female,1966-03-15,Australia,2025-10-07
102,AW00011101,Abby,Sai,Single,Female,1970-11-05,Australia,2025-10-07
103,AW00011102,Julia,Nelson,Single,Female,1970-10-19,Australia,2025-10-07
104,AW00011103,Cassie,Chande,Single,Female,1981-04-12,Australia,2025-10-07
105,AW00011104,Edgar,Sara,Married,Male,1975-03-08,Australia,2025-10-07
106,AW00011105,Candace,Fernandez,Single,Female,1970-06-27,Australia,2025-10-07
107,AW00011106,Jessie,Liu,Single,Male,1970-03-11,Australia,2025-10-07
108,AW00011107,Bianca,Lin,Married,Female,1976-03-04,Australia,2025-10-07
109,AW00011108,Kari,Alvarez,Single,Female,1969-01-10,Australia,2025-10-07
110,AW00011109,Ruben,Kapoor,Single,Male,1980-04-30,Australia,2025-10-07
111,AW00011110,Curtis,Yang,Married,Male,1967-12-04,Australia,2025-10-07
112,AW00011111,Meredith,Gutierrez,Married,Female,1967-08-23,Australia,2025-10-07
113,AW00011112,Crystal,Wang,Married,Female,1968-03-08,Australia,2025-10-07
114,AW00011113,Micheal,Blanco,Married,Male,1973-02-17,Australia,2025-10-07
115,AW00011114,Leslie,Moreno,Single,Female,1967-11-25,Australia,2025-10-07
116,AW00011115,Alvin,Cai,Married,Male,1967-08-12,Australia,2025-10-07
117,AW00011116,Clinton,Carlson,Married,Male,1979-04-02,Australia,2025-10-07
118,AW00011117,April,Deng,Married,Female,1966-08-21,Australia,2025-10-07
119,AW00011118,Alvin,Zeng,Single,Male,1962-12-31,Australia,2025-10-07
120,AW00011119,Evan,James,Single,Male,1940-10-07,Australia,2025-10-07
121,AW00011120,Beth,Jiménez,Single,Female,1942-02-06,Australia,2025-10-07
122,AW00011121,Orlando,Suarez,Married,Male,1966-05-18,Australia,2025-10-07
123,AW00011122,Byron,Vazquez,Married,Male,1965-09-30,Australia,2025-10-07
124,AW00011123,Philip,Alvarez,Married,Male,1965-12-18,Australia,2025-10-07
125,AW00011124,Ross,Jordan,Single,Male,1968-07-23,Australia,2025-10-07
126,AW00011125,Dana,Navarro,Single,Female,1961-10-06,Australia,2025-10-07
127,AW00011126,Shaun,Carson,Married,Male,1954-10-05,Australia,2025-10-07
128,AW00011127,Jan,Edwards,Married,Female,1981-04-19,United States,2025-10-07
129,AW00011128,Samantha,Long,Married,Female,1981-06-03,United States,2025-10-07
130,AW00011129,Julia,Wright,Single,Female,1981-02-01,United States,2025-10-07
131,AW00011130,Caroline,Russell,Married,Female,1985-07-05,United States,2025-10-07
132,AW00011131,Amanda,Rivera,Married,Female,1985-09-09,Canada,2025-10-07
133,AW00011132,Melissa,Richardson,Single,Female,1986-04-25,Canada,2025-10-07
134,AW00011133,Angela,Griffin,Single,Female,1986-03-08,United States,2025-10-07
135,AW00011134,Larry,Townsend,Single,Male,1957-02-22,Australia,2025-10-07
136,AW00011135,Marcus,Harris,Single,Male,1985-05-02,United States,2025-10-07
137,AW00011136,Brianna,Morgan,Single,Female,1984-04-24,Canada,2025-10-07
138,AW00011137,Jasmine,Taylor,Married,Female,1984-01-17,United States,2025-10-07
139,AW00011138,Lauren,Davis,Married,Female,1984-03-14,United States,2025-10-07
140,AW00011139,Tanya,Moreno,Single,Female,1949-11-05,Australia,2025-10-07
141,AW00011140,Javier,Alvarez,Single,Male,1982-08-11,United States,2025-10-07
142,AW00011141,Nicole,Ramirez,Married,Female,1982-12-19,United States,2025-10-07
143,AW00011142,Eduardo,Patterson,Single,Male,1983-02-11,Canada,2025-10-07
144,AW00011143,Jonathan,Henderson,Married,Male,1982-08-04,United States,2025-10-07
145,AW00011144,Edward,Hernandez,Single,Male,1985-03-08,United States,2025-10-07
146,AW00011145,Jasmine,Coleman,Single,Female,1985-06-06,United States,2025-10-07
147,AW00011146,Karla,Goel,Single,Female,1945-02-22,Australia,2025-10-07
148,AW00011147,Ernest,Wu,Married,Male,1944-08-04,Australia,2025-10-07
149,AW00011148,Ross,Vazquez,Married,Male,1947-02-13,Australia,2025-10-07
150,AW00011149,Theodore,Gill,Married,Male,1946-10-18,Australia,2025-10-07
151,AW00011150,Russell,Shen,Single,Male,1946-09-12,Australia,2025-10-07
152,AW00011151,Melinda,Gill,Single,Female,1947-08-25,Australia,2025-10-07
153,AW00011152,James,Williams,Single,Male,1981-07-09,United States,2025-10-07
154,AW00011153,Angela,James,Married,Female,1981-12-21,United States,2025-10-07
155,AW00011154,Megan,Walker,Single,Female,1982-02-18,United States,2025-10-07
156,AW00011155,Hunter,Robinson,Single,Male,1981-07-25,United States,2025-10-07
157,AW00011156,Maria,Roberts,Single,Female,1981-08-06,United States,2025-10-07
158,AW00011157,Hannah,Long,Married,Female,1980-12-08,United States,2025-10-07
159,AW00011158,Jason,Wright,Single,Male,1981-04-06,United States,2025-10-07
160,AW00011159,Brianna,Hughes,Single,Female,1981-03-16,United States,2025-10-07
161,AW00015623,Molly,Madan,Married,Female,1978-04-10,France,2026-01-04
162,AW00015624,Tyrone,Rubio,Married,Male,1983-08-08,France,2026-01-04
163,AW00015625,Clinton,Alvarez,Married,Male,1978-04-16,Germany,2026-01-04
164,AW00015626,Eduardo,White,Married,Male,1983-07-20,Germany,2026-01-04
165,AW00015627,Troy,Srini,Single,Male,1978-06-23,Germany,2026-01-04
166,AW00015628,Brianna,Sandberg,Married,Female,1922-04-10,Germany,2026-01-04
167,AW00015629,Meghan,Ruiz,Single,Female,1977-03-31,Germany,2026-01-04
168,AW00015630,Nichole,Tang,Single,Female,1976-10-30,United Kingdom,2026-01-04
169,AW00015631,Clayton,Andersen,Single,Male,1977-05-11,United Kingdom,2026-01-04
170,AW00015632,Gloria,Carlson,Married,Female,1976-07-08,United Kingdom,2026-01-04
171,AW00015633,Ashlee,Shan,Single,Female,1977-02-08,Germany,2026-01-04
172,AW00015634,Dalton,Kelly,Single,Male,1982-05-23,United Kingdom,2026-01-04
173,AW00015635,Sheila,Martin,Single,Female,1977-02-20,United Kingdom,2026-01-04
174,AW00015636,David,White,Single,Male,1975-11-22,Germany,2026-01-04
175,AW00015637,Russell,Sharma,Single,Male,1977-01-19,France,2026-01-04
176,AW00015638,Rosa,He,Married,Female,1947-01-23,United Kingdom,2026-01-04
177,AW00015639,Melanie,Coleman,Married,Female,1985-08-30,Australia,2026-01-04
178,AW00015640,Gary,Gomez,Single,Male,1985-10-14,Australia,2026-01-04
179,AW00015641,Marco,Sara,Married,Male,1983-11-01,Australia,2026-01-04
180,AW00015642,Cara,Gao,Single,Female,1983-02-21,Australia,2026-01-04
181,AW00015643,Omar,Raji,Single,Male,1983-03-20,Australia,2026-01-04
182,AW00015644,Savannah,Gonzalez,Single,Female,1985-02-16,Australia,2026-01-04
183,AW00015645,Javier,Gill,Married,Male,1984-09-08,Australia,2026-01-04
184,AW00015646,Emma,Kelly,Single,Female,1984-05-02,Australia,2026-01-04
185,AW00015647,Dawn,He,Married,Female,1984-05-19,Australia,2026-01-04
186,AW00015648,Edgar,Gonzalez,Married,Male,1984-03-03,Australia,2026-01-04
187,AW00015649,Melinda,Jimenez,Married,Female,1954-04-07,Germany,2026-01-04
188,AW00015650,Ronnie,Li,Single,Male,1972-01-31,France,2026-01-04
189,AW00015651,Ann,Lopez,Single,Female,1972-07-09,France,2026-01-04
190,AW00015652,Barbara,Wang,Married,Female,1966-11-22,United Kingdom,2026-01-04
191,AW00015653,Gerald,Madan,Single,Male,1977-12-01,United Kingdom,2026-01-04
192,AW00015654,Levi,Fernandez,Single,Male,1965-09-09,France,2026-01-04
193,AW00015655,Deanna,Gomez,Married,Female,1971-10-30,Germany,2026-01-04
194,AW00015656,Darryl,Zhao,Single,Male,1965-12-13,Germany,2026-01-04
195,AW00015657,Marcus,Hayes,Married,Male,1965-12-18,United Kingdom,2026-01-04
196,AW00015658,Victoria,Rogers,Single,Female,1965-02-12,France,2026-01-04
197,AW00015659,Angela,Rivera,Married,Female,1964-08-13,Germany,2026-01-04
198,AW00015660,April,Jai,Married,Female,1965-03-01,United Kingdom,2026-01-04
199,AW00015661,Brandon,Robinson,Married,Male,1965-02-16,United Kingdom,2026-01-04
200,AW00015662,Megan,Richardson,Married,Female,1965-11-21,United Kingdom,2026-01-04
201,AW00015663,Mandy,Chen,Married,Female,1965-01-05,France,2026-01-04
202,AW00015664,Jill,Vazquez,Single,Female,1970-04-22,Germany,2026-01-04
203,AW00015665,Kristi,Sai,Married,Female,1965-01-02,France,2026-01-04
204,AW00015666,Bianca,Liang,Single,Female,1981-10-18,France,2026-01-04
205,AW00015667,Hector,Ramos,Married,Male,1976-03-16,Germany,2026-01-04
206,AW00015668,Erick,Fernandez,Married,Male,1981-02-23,United Kingdom,2026-01-04
207,AW00015669,Paul,Suurs,Married,Female,1981-04-20,United Kingdom,2026-01-04
208,AW00015670,Sergio,Sánchez,Married,Male,1975-01-31,France,2026-01-04
209,AW00015671,Lawrence,Torres,Single,Male,1974-11-24,United Kingdom,2026-01-04
210,AW00015672,Kelvin,Nara,Single,Male,1974-07-19,Germany,2026-01-04
211,AW00015673,Jon,Goel,Single,Male,1980-06-04,France,2026-01-04
212,AW00015674,Tommy,Raheem,Single,Male,1975-01-05,Germany,2026-01-04
213,AW00015675,Jay,Alonso,Married,Male,1975-04-15,Germany,2026-01-04
214,AW00015676,Todd,Wang,Single,Male,1974-10-05,France,2026-01-04
215,AW00015677,Alyssa,Bradley,Married,Female,1975-02-08,France,2026-01-04
216,AW00015678,Susan,Zhou,Married,Female,1980-06-04,France,2026-01-04
217,AW00015679,Robert,Patterson,Married,Male,1958-03-10,France,2026-01-04
218,AW00015680,Tasha,She,Married,Female,1956-09-05,Germany,2026-01-04
219,AW00015681,Emma,Gonzales,Married,Female,1960-02-07,United Kingdom,2026-01-04
220,AW00015682,Heidi,Garcia,Single,Female,1949-11-18,Germany,2026-01-04
221,AW00015683,Jessie,Carlson,Single,Female,1949-12-20,Germany,2026-01-04
222,AW00015684,Tyrone,Suarez,Single,Male,1955-07-07,Germany,2026-01-04
223,AW00015685,Robin,Vazquez,Married,Female,1949-12-07,Germany,2026-01-04
224,AW00015686,Pedro,Vazquez,Married,Male,1949-12-31,United Kingdom,2026-01-04
225,AW00015687,Jay,Suri,Married,Male,1950-12-16,France,2026-01-04
226,AW00015688,Chase,Gray,Married,Male,1950-11-04,France,2026-01-04
227,AW00015689,Stacey,Wang,Single,Female,1950-07-06,Germany,2026-01-04
228,AW00015690,Clifford,Perez,Single,Male,1951-12-10,United Kingdom,2026-01-04
229,AW00015691,Julian,Henderson,Married,Male,1959-12-15,United Kingdom,2026-01-04
230,AW00015692,Ryan,Garcia,Married,Male,1959-10-12,United Kingdom,2026-01-04
231,AW00015693,Isabel,Barnes,Single,Female,1960-01-16,Germany,2026-01-04
232,AW00015694,Stephanie,Diaz,Married,Female,1959-01-18,United Kingdom,2026-01-04
233,AW00015695,Bruce,Gomez,Married,Male,1959-12-16,United Kingdom,2026-01-04
234,AW00015696,Damien,Sun,Married,Male,1958-12-03,France,2026-01-04
235,AW00015697,Julia,Morris,Married,Female,1959-01-03,Germany,2026-01-04
236,AW00015698,Susan,Wang,Single,Female,1958-08-31,Germany,2026-01-04
237,AW00015699,Jonathon,Hernandez,Married,Male,1959-03-11,United Kingdom,2026-01-04
238,AW00015700,Eugene,Guo,Married,Male,1958-05-19,France,2026-01-04
239,AW00015701,Jillian,Kapoor,Married,Female,1958-03-27,United Kingdom,2026-01-04
240,AW00015702,Ruth,Mehta,Married,Female,1958-02-15,United Kingdom,2026-01-04
241,AW00015703,Alison,Chande,Married,Female,1962-05-02,Germany,2026-01-04
242,AW00015704,Peter,Luo,Single,Male,1956-09-10,Germany,2026-01-04
243,AW00015705,Gabriel,Simmons,Married,Male,1955-09-19,Germany,2026-01-04
244,AW00015706,Tina,Arthur,Married,Female,1955-05-25,France,2026-01-04
245,AW00015707,Robin,Rubio,Married,Female,1960-09-11,Germany,2026-01-04
246,AW00015708,Nina,Jai,Married,Female,1960-07-17,Germany,2026-01-04
247,AW00015709,Chelsea,Prasad,Married,Female,1959-08-31,France,2026-01-04
248,AW00015710,Brandy,Rana,Married,Female,1953-07-22,France,2026-01-04
249,AW00015711,Jeffery,Liang,Married,Male,1953-12-30,United Kingdom,2026-01-04
250,AW00015712,Whitney,Chandra,Married,Female,1954-06-04,United Kingdom,2026-01-04
251,AW00015713,Hannah,Lee,Married,Female,1953-12-07,United Kingdom,2026-01-04
252,AW00015714,Bethany,Pal,Single,Female,1953-03-16,France,2026-01-04
253,AW00015715,Isabella,Adams,Single,Female,1980-12-17,Australia,2026-01-04
254,AW00015716,Roy,Madan,Single,Male,1980-12-17,Australia,2026-01-04
255,AW00015717,Alexia,Henderson,Single,Female,1981-11-23,Australia,2026-01-04
256,AW00015718,Heather,Lin,Married,Female,1981-10-13,Australia,2026-01-04
257,AW00015719,Lacey,Liang,Married,Female,1982-01-10,Australia,2026-01-04
258,AW00015720,Jaime,Ramos,Married,Female,1980-01-23,Australia,2026-01-04
259,AW00015721,Cara,Guo,Single,Female,1985-08-11,Australia,2026-01-04
260,AW00015722,Angela,Jenkins,Married,Female,1980-05-25,Australia,2026-01-04
261,AW00015723,Kate,Deng,Married,Female,1985-03-14,Australia,2026-01-04
262,AW00015724,Roger,She,Single,Male,1979-10-30,Australia,2026-01-04
263,AW00015725,Trevor,Price,Married,Male,1979-01-15,Australia,2026-01-04
264,AW00015726,Faith,Barnes,Married,Female,1978-08-27,Australia,2026-01-04
265,AW00015727,Alisha,Zeng,Married,Female,1977-10-31,Australia,2026-01-04
266,AW00015728,Keith,Sharma,Married,Male,1979-01-31,Australia,2026-01-04
267,AW00015729,Mayra,Suri,Married,Female,1983-09-21,Australia,2026-01-04
268,AW00015730,Philip,Dominguez,Married,Male,1977-08-18,Australia,2026-01-04
269,AW00015731,Corey,Chavez,Single,Male,1976-09-16,Australia,2026-01-04
270,AW00015732,Sandra,Zhu,Married,Female,1983-05-25,Australia,2026-01-04
271,AW00015733,Leslie,Ramos,Married,Female,1977-09-22,Australia,2026-01-04
272,AW00015734,Alicia,Lal,Married,Female,1976-01-08,Australia,2026-01-04
273,AW00015735,Lori,Blanco,Married,Female,1975-10-30,Australia,2026-01-04
274,AW00015736,Sheena,Raje,Married,Female,1946-12-11,United States,2026-01-04
275,AW00015737,Alexander,Robinson,Single,Male,1946-10-02,United States,2026-01-04
276,AW00015738,Abigail,Miller,Married,Female,1947-01-20,United States,2026-01-04
277,AW00015739,Garrett,Rogers,Married,Male,1948-06-14,United States,2026-01-04
278,AW00015740,Johnny,Kumar,Married,Male,1947-10-09,United States,2026-01-04
279,AW00015741,Isabella,Allen,Married,Female,1948-04-09,United States,2026-01-04
280,AW00015742,Grace,Thompson,Married,Female,1948-05-06,United States,2026-01-04
281,AW00015743,Chloe,Thompson,Married,Female,1953-02-14,United States,2026-01-04
282,AW00015744,Angela,Gray,Married,Female,1947-09-19,United States,2026-01-04
283,AW00015745,Julian,Hayes,Married,Male,1948-02-12,United States,2026-01-04
284,AW00015746,Emily,Walker,Married,Female,1949-05-31,United States,2026-01-04
285,AW00015747,Evan,Nelson,Married,Male,1949-08-24,United States,2026-01-04
286,AW00015748,Austin,Jenkins,Married,Male,1949-12-07,Canada,2026-01-04
287,AW00015749,Grace,Brown,Single,Female,1950-04-24,United States,2026-01-04
288,AW00015750,Kaitlin,Martinez,Married,Female,1984-10-16,United States,2026-01-04
289,AW00015751,Kristen,Xu,Single,Female,1966-02-21,Australia,2026-01-04
290,AW00015752,Bobby,Rodriguez,Married,Male,1961-03-31,Australia,2026-01-04
291,AW00015753,Margaret,Li,Single,Female,1962-06-21,Australia,2026-01-04
292,AW00015754,Crystal,Xu,Single,Female,1961-12-21,Australia,2026-01-04
293,AW00015755,Connor,Flores,Married,Male,1967-01-22,Australia,2026-01-04
294,AW00015756,Kari,Gutierrez,Single,Female,1974-01-01,Australia,2026-01-04
295,AW00015757,Edwin,Ferrier,Single,Male,1963-01-07,Australia,2026-01-04
296,AW00015758,Arturo,Andersen,Married,Male,1969-05-22,Australia,2026-01-04
297,AW00015759,Erin,Brooks,Married,Female,1979-05-07,United States,2026-01-04
298,AW00015760,Richard,James,Married,Male,1979-11-01,Canada,2026-01-04
299,AW00015761,Xavier,Thompson,Single,Male,1980-04-16,Canada,2026-01-04
300,AW00015762,Garrett,Stewart,Single,Male,1979-11-05,Canada,2026-01-04
301,AW00015763,Xavier,Young,Married,Male,1980-01-22,United States,2026-01-04
302,AW00015764,Louis,Guo,Single,Male,1964-12-12,Australia,2026-01-04
303,AW00015765,Gilbert,Deng,Married,Male,1965-04-16,Australia,2026-01-04
304,AW00015766,Priscilla,Black,Single,Female,1965-02-12,Australia,2026-01-04
305,AW00015767,George,Prasad,Single,Male,1970-05-20,Australia,2026-01-04
306,AW00015768,Victoria,Walker,Married,Female,1972-05-25,United States,2026-01-04
307,AW00015769,Kelly,Coleman,Married,Female,1971-11-06,United States,2026-01-04
308,AW00015770,Xavier,Brooks,Single,Male,1983-04-06,United States,2026-01-04
309,AW00015771,Maria,Diaz,Married,Female,1963-07-23,United States,2026-01-04
310,AW00015772,Christopher,Anderson,Married,Male,1968-03-09,United States,2026-01-04
311,AW00015773,Dylan,Jenkins,Married,Male,1963-04-02,United States,2026-01-04
312,AW00015774,Natalie,Kelly,Married,Female,1968-02-24,United States,2026-01-04
313,AW00015775,Michelle,Ward,Married,Female,1979-12-13,United States,2026-01-04
314,AW00015776,Jesse,Mitchell,Married,Male,1979-09-06,United States,2026-01-04
315,AW00015777,Brianna,Smith,Married,Female,1968-01-18,United States,2026-01-04
316,AW00015778,José,Miller,Single,Male,1962-11-07,United States,2026-01-04
317,AW00015779,Jackson,Hayes,Married,Male,1973-08-14,United States,2026-01-04
318,AW00015780,Claudia,McDonald,Married,Female,1968-05-10,United States,2026-01-04
319,AW00015781,Blake,Evans,Married,Male,1962-09-30,United States,2026-01-04
320,AW00015782,Katelyn,Collins,Married,Female,1968-11-19,United States,2026-01-04
321,AW00015783,David,Alexander,Married,Male,1973-01-07,Australia,2026-01-04
322,AW00015784,Rebekah,Vazquez,Married,Female,1973-03-03,Australia,2026-01-04
323,AW00015785,Edwin,Zhang,Single,Male,1967-10-24,Australia,2026-01-04
324,AW00015786,Marshall,Andersen,Married,Male,1968-05-02,Australia,2026-01-04
325,AW00015787,Cynthia,Gonzalez,Single,Female,1966-11-18,Australia,2026-01-04
326,AW00015788,Barbara,Li,Single,Female,1971-09-15,Australia,2026-01-04
327,AW00015789,Steve,Schmidt,Single,Female,1972-02-12,Australia,2026-01-04
328,AW00015790,Colin,Xu,Single,Male,1965-12-13,Australia,2026-01-04
329,AW00015791,Megan,Long,Married,Female,1966-03-20,Australia,2026-01-04
330,AW00015792,Ernest,Zhou,Married,Male,1976-08-05,Australia,2026-01-04
331,AW00015793,Renee,Navarro,Single,Female,1976-04-08,Australia,2026-01-04
332,AW00015794,Tonya,Chander,Married,Female,1981-12-15,Australia,2026-01-04
333,AW00015795,Diane,Munoz,Married,Female,1970-07-16,Australia,2026-01-04
334,AW00015796,Edward,Hayes,Married,Male,1970-11-08,Australia,2026-01-04
335,AW00015797,Isaac,Cox,Married,Male,1970-09-25,Australia,2026-01-04
336,AW00015798,Anne,Munoz,Single,Female,1970-03-19,Australia,2026-01-04
337,AW00015799,Victoria,Anderson,Married,Female,1964-07-11,Australia,2026-01-04
338,AW00015800,Alberto,Serrano,Single,Male,1970-12-07,Australia,2026-01-04
339,AW00015801,Katrina,Shen,Single,Female,1969-05-12,Australia,2026-01-04
